记录编号,问卷编号,性别,年龄,出生年份,户口类型,教育程度,婚姻状况,家庭人数,个人年收入,劳动收入,当前社会阶层_1到10,十年前社会阶层,十年后预期阶层,14岁家庭阶层,主观社会经济地位_上层到下层,知足感_与人比较,家庭收入满意度,朋友数量比较,运气比较_比别人差,吃亏感_与人比较,幸福感,逛街购物频率,上网频率,社会比较倾向,经济不满意度,地位提升期望,相对剥夺感,抽样权重
4459,4459.0,1.0,51.0,1970.0,1.0,11.0,3.0,2.0,100000.0,100000.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,1.0,1.0,1.0,0.0,4.0,2.0,20.0,20.0,0.0,20.0,0.5858269929885864
4462,4462.0,1.0,78.0,1943.0,1.0,0.0,3.0,3.0,60000.0,0.0,5.0,4.0,7.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,0.0,4.0,5.0,30.0,20.0,22.22222222222222,80.0,0.6963580846786499
4469,4469.0,1.0,83.0,1938.0,1.0,12.0,7.0,0.0,43000.0,42000.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,6.0,0.0,5.0,5.0,60.0,40.0,11.11111111111111,93.33333333333333,0.4714680314064026
4470,4470.0,1.0,51.0,1970.0,1.0,1.0,3.0,2.0,5000000.0,5000000.0,2.0,1.0,2.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,0.0,5.0,5.0,40.0,60.0,0.0,60.0,0.4619345963001251
4489,4489.0,2.0,43.0,1978.0,1.0,7.0,3.0,1.0,60000.0,60000.0,5.0,3.0,7.0,4.0,4.0,6.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,22.22222222222222,40.0,0.9947683811187744
4492,4492.0,1.0,60.0,1961.0,1.0,4.0,3.0,4.0,3000.0,3000.0,5.0,1.0,6.0,1.0,3.0,6.0,5.0,1.0,1.0,1.0,0.0,2.0,5.0,20.0,20.0,11.11111111111111,20.0,0.997612476348877
4498,4498.0,1.0,32.0,1989.0,1.0,13.0,1.0,2.0,250000.0,250000.0,6.0,5.0,7.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,0.0,3.0,1.0,40.0,60.0,11.11111111111111,46.666666666666664,0.8137157559394836
4501,4501.0,2.0,56.0,1965.0,1.0,4.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,0.0,4.0,3.0,30.0,20.0,0.0,46.666666666666664,0.7228516936302185
4506,4506.0,1.0,72.0,1949.0,1.0,3.0,3.0,1.0,0.0,0.0,7.0,5.0,7.0,4.0,3.0,6.0,3.0,1.0,1.0,1.0,0.0,2.0,5.0,20.0,60.0,0.0,20.0,0.6036099195480347
4507,4507.0,2.0,78.0,1943.0,1.0,4.0,3.0,1.0,1440.0,0.0,5.0,8.0,6.0,4.0,3.0,6.0,3.0,3.0,4.0,4.0,0.0,5.0,5.0,50.0,60.0,11.11111111111111,73.33333333333333,0.5255129933357239
4508,4508.0,1.0,77.0,1944.0,1.0,4.0,7.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,0.0,2.0,5.0,60.0,20.0,22.22222222222222,80.0,0.67462557554245
4511,4511.0,1.0,46.0,1975.0,1.0,12.0,6.0,0.0,400000.0,300000.0,7.0,6.0,7.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,0.0,4.0,1.0,50.0,40.0,0.0,46.666666666666664,0.74797123670578
4515,4515.0,1.0,77.0,1944.0,1.0,4.0,3.0,5.0,1500.0,0.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,3.0,4.0,2.0,0.0,3.0,5.0,30.0,40.0,0.0,60.0,0.67462557554245
4520,4520.0,2.0,26.0,1995.0,1.0,12.0,1.0,2.0,5000000.0,5000000.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,11.11111111111111,40.0,0.9098203778266908
4528,4528.0,2.0,65.0,1956.0,1.0,5.0,7.0,0.0,50000.0,0.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,30.0,60.0,0.0,46.666666666666664,0.4646885395050049
4531,4531.0,2.0,56.0,1965.0,1.0,6.0,7.0,4.0,25200.0,0.0,8.0,9.0,0.0,0.0,5.0,2.0,2.0,5.0,6.0,6.0,0.0,2.0,5.0,90.0,80.0,0.0,100.0,0.5734306573867798
4532,4532.0,1.0,70.0,1951.0,1.0,3.0,3.0,2.0,4000.0,4000.0,2.0,10.0,1.0,3.0,3.0,5.0,6.0,3.0,5.0,4.0,0.0,3.0,5.0,50.0,20.0,0.0,80.0,0.6036099195480347
4535,4535.0,2.0,27.0,1994.0,4.0,12.0,3.0,2.0,60000.0,50000.0,5.0,0.0,8.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,0.0,3.0,1.0,60.0,60.0,33.33333333333333,86.66666666666667,0.9098203778266908
4536,4536.0,2.0,73.0,1948.0,1.0,1.0,3.0,4.0,4000.0,4000.0,5.0,3.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,0.0,3.0,5.0,50.0,40.0,0.0,93.33333333333333,0.1841439604759216
4537,4537.0,2.0,68.0,1953.0,1.0,0.0,3.0,6.0,1440.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,0.0,3.0,1.0,50.0,20.0,0.0,73.33333333333333,0.4085426926612854
4538,4538.0,1.0,75.0,1946.0,1.0,1.0,3.0,3.0,5000000.0,5000000.0,2.0,2.0,0.0,1.0,5.0,4.0,4.0,4.0,3.0,3.0,0.0,3.0,5.0,50.0,40.0,0.0,66.66666666666666,0.2540954351425171
4539,4539.0,1.0,31.0,1990.0,1.0,6.0,1.0,2.0,50000.0,50000.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,0.0,4.0,1.0,50.0,40.0,11.11111111111111,53.333333333333336,1.635776400566101
4540,4540.0,2.0,80.0,1941.0,1.0,7.0,7.0,0.0,55000.0,55000.0,10.0,8.0,7.0,5.0,3.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,5.0,30.0,40.0,0.0,33.33333333333333,0.6099315881729126
4550,4550.0,1.0,57.0,1964.0,1.0,6.0,3.0,1.0,2000.0,0.0,1.0,2.0,1.0,8.0,5.0,2.0,2.0,2.0,2.0,5.0,0.0,2.0,1.0,90.0,80.0,0.0,60.0,0.7361397743225098
4556,4556.0,1.0,83.0,1938.0,1.0,3.0,7.0,4.0,20000.0,0.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,4.0,5.0,30.0,20.0,0.0,40.0,1.4048988819122314
4558,4558.0,1.0,73.0,1948.0,1.0,1.0,3.0,4.0,5000000.0,2000.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,4.0,5.0,4.0,0.0,3.0,5.0,50.0,20.0,0.0,86.66666666666667,0.2363941520452499
4561,4561.0,2.0,51.0,1970.0,1.0,4.0,4.0,4.0,5500.0,0.0,4.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,0.0,5.0,1.0,40.0,20.0,0.0,80.0,0.955359935760498
4576,4576.0,1.0,24.0,1997.0,1.0,13.0,1.0,2.0,8000.0,8000.0,5.0,5.0,6.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,0.0,4.0,1.0,40.0,20.0,11.11111111111111,40.0,0.7894789576530457
4577,4577.0,1.0,32.0,1989.0,1.0,1.0,3.0,3.0,100000.0,100000.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,0.0,4.0,1.0,40.0,40.0,0.0,53.333333333333336,1.149445652961731
4578,4578.0,2.0,61.0,1960.0,3.0,6.0,3.0,4.0,24000.0,0.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,0.0,53.333333333333336,0.6164731383323669
4579,4579.0,2.0,75.0,1946.0,1.0,3.0,3.0,6.0,1200.0,0.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,2.0,0.0,4.0,1.0,40.0,40.0,0.0,53.333333333333336,0.7479982972145081
4580,4580.0,2.0,32.0,1989.0,1.0,5.0,3.0,3.0,0.0,0.0,4.0,3.0,8.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,44.44444444444444,40.0,1.274220585823059
4581,4581.0,2.0,41.0,1980.0,1.0,6.0,3.0,3.0,0.0,0.0,5.0,6.0,8.0,7.0,4.0,6.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,20.0,20.0,33.33333333333333,20.0,0.9947683811187744
4583,4583.0,2.0,52.0,1969.0,1.0,4.0,3.0,5.0,25000.0,25000.0,8.0,3.0,8.0,4.0,3.0,6.0,4.0,1.0,2.0,4.0,0.0,4.0,5.0,50.0,40.0,0.0,46.666666666666664,0.955359935760498
4584,4584.0,1.0,31.0,1990.0,1.0,12.0,1.0,1.0,70000.0,70000.0,6.0,3.0,8.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,4.0,1.0,40.0,40.0,22.22222222222222,40.0,0.6655075550079346
4589,4589.0,1.0,24.0,1997.0,4.0,6.0,3.0,4.0,55000.0,25000.0,5.0,2.0,7.0,7.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,3.0,1.0,60.0,20.0,22.22222222222222,100.0,1.5870540142059326
4592,4592.0,2.0,58.0,1963.0,1.0,6.0,3.0,4.0,30000.0,0.0,5.0,8.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,0.0,1.0,1.0,30.0,20.0,0.0,40.0,0.5734306573867798
4599,4599.0,1.0,24.0,1997.0,1.0,4.0,1.0,2.0,50000.0,50000.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,0.0,4.0,1.0,50.0,60.0,11.11111111111111,66.66666666666666,2.960887670516968
4600,4600.0,2.0,73.0,1948.0,1.0,1.0,3.0,2.0,30000.0,0.0,3.0,2.0,1.0,2.0,5.0,3.0,4.0,4.0,5.0,5.0,0.0,1.0,5.0,80.0,40.0,0.0,93.33333333333333,0.2725332975387573
4603,4603.0,2.0,70.0,1951.0,1.0,3.0,3.0,5.0,20000.0,20000.0,5.0,1.0,8.0,1.0,2.0,6.0,6.0,6.0,4.0,2.0,0.0,3.0,5.0,30.0,20.0,33.33333333333333,73.33333333333333,0.470194548368454
4608,4608.0,1.0,52.0,1969.0,1.0,3.0,3.0,2.0,24000.0,24000.0,5.0,3.0,7.0,1.0,3.0,5.0,5.0,2.0,4.0,5.0,0.0,2.0,1.0,60.0,20.0,22.22222222222222,73.33333333333333,1.7456731796264648
4613,4613.0,1.0,72.0,1949.0,1.0,3.0,3.0,5.0,24000.0,0.0,4.0,2.0,5.0,1.0,3.0,5.0,6.0,5.0,2.0,2.0,0.0,5.0,5.0,30.0,20.0,11.11111111111111,60.0,0.6036099195480347
4615,4615.0,1.0,34.0,1987.0,1.0,4.0,6.0,2.0,5000000.0,5000000.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,0.0,4.0,1.0,50.0,80.0,22.22222222222222,46.666666666666664,3.051788330078125
4620,4620.0,1.0,56.0,1965.0,1.0,4.0,2.0,5.0,5000.0,5000.0,1.0,7.0,1.0,8.0,5.0,2.0,1.0,2.0,5.0,5.0,0.0,3.0,3.0,90.0,100.0,0.0,80.0,0.9279582500457764
4621,4621.0,2.0,73.0,1948.0,1.0,3.0,7.0,4.0,12000.0,12000.0,6.0,2.0,7.0,1.0,4.0,5.0,0.0,5.0,3.0,5.0,0.0,5.0,5.0,60.0,0.0,11.11111111111111,86.66666666666667,0.470194548368454
4623,4623.0,1.0,57.0,1964.0,1.0,6.0,2.0,4.0,60000.0,20000.0,5.0,3.0,7.0,2.0,2.0,5.0,6.0,1.0,2.0,2.0,0.0,2.0,4.0,30.0,20.0,22.22222222222222,33.33333333333333,0.4973913133144378
4624,4624.0,2.0,57.0,1964.0,1.0,3.0,3.0,5.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,6.0,5.0,0.0,4.0,2.0,60.0,20.0,0.0,86.66666666666667,0.6951900720596313
4627,4627.0,2.0,57.0,1964.0,1.0,6.0,6.0,0.0,12000.0,0.0,3.0,5.0,0.0,4.0,4.0,5.0,1.0,5.0,6.0,6.0,0.0,4.0,3.0,60.0,100.0,0.0,100.0,0.5734306573867798
4628,4628.0,2.0,26.0,1995.0,1.0,4.0,3.0,2.0,50000.0,50000.0,5.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,0.0,4.0,3.0,30.0,20.0,0.0,66.66666666666666,1.904723644256592
4633,4633.0,1.0,63.0,1958.0,1.0,4.0,3.0,1.0,5000000.0,5000000.0,2.0,1.0,4.0,1.0,5.0,6.0,6.0,5.0,1.0,2.0,0.0,3.0,5.0,30.0,20.0,22.22222222222222,53.333333333333336,0.997612476348877
4646,4646.0,2.0,30.0,1991.0,1.0,7.0,3.0,3.0,5000000.0,5000000.0,5.0,0.0,0.0,6.0,2.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,20.0,80.0,0.0,33.33333333333333,0.8609591126441956
4649,4649.0,2.0,18.0,2003.0,1.0,4.0,1.0,2.0,5000000.0,5000000.0,5.0,6.0,5.0,7.0,3.0,4.0,4.0,3.0,3.0,2.0,0.0,3.0,1.0,40.0,40.0,0.0,53.333333333333336,2.3064427375793457
4655,4655.0,2.0,33.0,1988.0,1.0,12.0,3.0,2.0,80000.0,80000.0,5.0,2.0,5.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,0.0,3.0,1.0,40.0,40.0,0.0,33.33333333333333,0.7672494649887085
4661,4661.0,2.0,18.0,2003.0,1.0,6.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,6.0,4.0,4.0,0.0,3.0,1.0,70.0,20.0,22.22222222222222,86.66666666666667,1.2362669706344604
4664,4664.0,1.0,58.0,1963.0,1.0,3.0,3.0,5.0,50000.0,50000.0,5.0,5.0,0.0,4.0,3.0,5.0,4.0,1.0,5.0,5.0,0.0,3.0,1.0,60.0,40.0,0.0,73.33333333333333,0.892448365688324
4669,4669.0,1.0,45.0,1976.0,1.0,3.0,7.0,3.0,20000.0,20000.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,5.0,0.0,5.0,2.0,90.0,100.0,0.0,86.66666666666667,1.5059680938720703
4671,4671.0,2.0,68.0,1953.0,1.0,3.0,3.0,5.0,30000.0,0.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,5.0,60.0,40.0,33.33333333333333,53.333333333333336,0.5633572340011597
4672,4672.0,1.0,82.0,1939.0,1.0,2.0,7.0,2.0,30000.0,0.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,0.0,3.0,5.0,70.0,40.0,11.11111111111111,86.66666666666667,0.3717601001262665
4673,4673.0,2.0,51.0,1970.0,1.0,3.0,7.0,7.0,10000.0,10000.0,5.0,4.0,6.0,1.0,3.0,5.0,5.0,3.0,2.0,3.0,0.0,4.0,2.0,40.0,20.0,11.11111111111111,53.333333333333336,0.9188011288642884
4683,4683.0,2.0,32.0,1989.0,1.0,3.0,3.0,6.0,5000000.0,5000000.0,1.0,1.0,4.0,1.0,5.0,4.0,3.0,4.0,4.0,3.0,0.0,4.0,3.0,50.0,60.0,33.33333333333333,73.33333333333333,1.5447829961776731
4687,4687.0,1.0,59.0,1962.0,1.0,6.0,3.0,4.0,48000.0,48000.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,2.0,5.0,5.0,0.0,4.0,1.0,60.0,20.0,11.11111111111111,80.0,0.7361397743225098
4692,4692.0,2.0,60.0,1961.0,1.0,6.0,3.0,2.0,31200.0,5000000.0,5.0,5.0,5.0,8.0,3.0,5.0,5.0,5.0,1.0,2.0,0.0,4.0,1.0,30.0,20.0,0.0,53.333333333333336,0.6164731383323669
4693,4693.0,1.0,50.0,1971.0,1.0,6.0,3.0,7.0,100000.0,15000.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,0.0,4.0,1.0,40.0,40.0,11.11111111111111,53.333333333333336,0.6573784351348877
4696,4696.0,2.0,46.0,1975.0,1.0,12.0,6.0,0.0,40000.0,40000.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,0.0,3.0,1.0,70.0,40.0,11.11111111111111,53.333333333333336,0.5826468467712402
4697,4697.0,1.0,66.0,1955.0,2.0,13.0,3.0,4.0,70000.0,0.0,6.0,5.0,6.0,3.0,3.0,5.0,6.0,1.0,2.0,2.0,0.0,1.0,5.0,30.0,20.0,0.0,33.33333333333333,0.2967492043972015
4698,4698.0,2.0,22.0,1999.0,6.0,12.0,1.0,3.0,15000.0,0.0,5.0,3.0,7.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,22.22222222222222,40.0,0.502968966960907
4700,4700.0,1.0,72.0,1949.0,1.0,3.0,3.0,0.0,0.0,0.0,6.0,5.0,7.0,2.0,5.0,4.0,4.0,5.0,6.0,4.0,0.0,2.0,2.0,60.0,40.0,11.11111111111111,93.33333333333333,0.6036099195480347
4702,4702.0,1.0,21.0,2000.0,4.0,12.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,2.0,1.0,50.0,40.0,11.11111111111111,60.0,0.9556162357330322
4707,4707.0,2.0,60.0,1961.0,1.0,4.0,7.0,2.0,12000.0,1200.0,6.0,8.0,5.0,2.0,3.0,5.0,3.0,5.0,4.0,6.0,0.0,3.0,5.0,60.0,60.0,0.0,93.33333333333333,0.7771101593971252
4710,4710.0,1.0,42.0,1979.0,1.0,3.0,6.0,1.0,23000.0,23000.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,0.0,5.0,3.0,100.0,100.0,0.0,100.0,1.548188328742981
4717,4717.0,1.0,75.0,1946.0,1.0,4.0,6.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.0,1.0,1.0,60.0,80.0,0.0,60.0,0.9984480142593384
4727,4727.0,2.0,51.0,1970.0,1.0,3.0,3.0,6.0,12000.0,0.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,3.0,0.0,2.0,1.0,40.0,20.0,44.44444444444444,66.66666666666666,0.9188011288642884
