记录编号,问卷编号,性别,年龄,出生年份,户口类型,教育程度,婚姻状况,家庭人数,个人年收入,劳动收入,当前社会阶层_1到10,十年前社会阶层,十年后预期阶层,14岁家庭阶层,主观社会经济地位_上层到下层,知足感_与人比较,家庭收入满意度,朋友数量比较,运气比较_比别人差,吃亏感_与人比较,幸福感,逛街购物频率,上网频率,社会比较倾向,经济不满意度,地位提升期望,相对剥夺感,抽样权重
3,3.0,2.0,60.0,1961.0,1.0,6.0,3.0,1.0,36000.0,0.0,6.0,6.0,6.0,8.0,3.0,6.0,6.0,5.0,1.0,2.0,0.0,1.0,5.0,30.0,20.0,0.0,53.333333333333336,0.6164731383323669
6,6.0,2.0,49.0,1972.0,1.0,13.0,1.0,2.0,200000.0,200000.0,5.0,5.0,5.0,7.0,2.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,0.0,40.0,0.4813521802425384
8,8.0,1.0,64.0,1957.0,1.0,4.0,3.0,0.0,30000.0,0.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,0.0,2.0,5.0,60.0,20.0,0.0,80.0,1.4764670133590698
12,12.0,1.0,74.0,1947.0,1.0,10.0,3.0,1.0,36000.0,36000.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,50.0,100.0,0.0,46.666666666666664,0.586210310459137
15,15.0,2.0,45.0,1976.0,1.0,7.0,3.0,3.0,130000.0,130000.0,6.0,2.0,8.0,6.0,3.0,6.0,6.0,5.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,22.22222222222222,60.0,0.9676405787467957
16,16.0,1.0,46.0,1975.0,1.0,3.0,3.0,3.0,60000.0,60000.0,3.0,1.0,5.0,1.0,4.0,5.0,3.0,5.0,2.0,2.0,0.0,4.0,2.0,30.0,60.0,22.22222222222222,60.0,2.228833675384521
18,18.0,2.0,63.0,1958.0,1.0,6.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,0.0,60.0,0.4165358245372772
20,20.0,2.0,39.0,1982.0,1.0,6.0,4.0,3.0,30000.0,0.0,3.0,1.0,5.0,1.0,3.0,5.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,60.0,22.22222222222222,40.0,0.6833468675613403
22,22.0,2.0,57.0,1964.0,1.0,4.0,3.0,5.0,12000.0,0.0,10.0,5.0,7.0,5.0,4.0,6.0,3.0,1.0,5.0,1.0,0.0,3.0,5.0,20.0,60.0,0.0,46.666666666666664,1.069821000099182
26,26.0,2.0,63.0,1958.0,1.0,12.0,3.0,1.0,120000.0,120000.0,6.0,7.0,6.0,3.0,2.0,6.0,5.0,1.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,0.0,33.33333333333333,0.3711983859539032
28,28.0,1.0,58.0,1963.0,6.0,3.0,3.0,2.0,20000.0,20000.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,2.0,4.0,0.0,5.0,5.0,50.0,80.0,0.0,66.66666666666666,1.3208245038986206
40,40.0,1.0,19.0,2002.0,1.0,6.0,1.0,5.0,0.0,0.0,5.0,1.0,8.0,5.0,5.0,5.0,6.0,1.0,1.0,1.0,0.0,4.0,1.0,20.0,20.0,33.33333333333333,20.0,1.0723310708999634
50,50.0,1.0,76.0,1945.0,1.0,1.0,3.0,2.0,43200.0,18000.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,0.0,2.0,5.0,60.0,20.0,0.0,80.0,0.3760623633861542
58,58.0,1.0,37.0,1984.0,1.0,3.0,1.0,0.0,50000.0,50000.0,7.0,4.0,8.0,6.0,3.0,5.0,4.0,5.0,2.0,2.0,0.0,4.0,1.0,30.0,40.0,11.11111111111111,60.0,1.5740026235580444
60,60.0,1.0,72.0,1949.0,1.0,3.0,3.0,7.0,17000.0,1000.0,4.0,6.0,3.0,3.0,5.0,6.0,2.0,4.0,2.0,2.0,0.0,5.0,5.0,30.0,80.0,0.0,53.333333333333336,0.6036099195480347
63,63.0,1.0,55.0,1966.0,1.0,3.0,3.0,0.0,45000.0,45000.0,5.0,4.0,6.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,0.0,5.0,5.0,30.0,20.0,11.11111111111111,40.0,0.892448365688324
65,65.0,1.0,73.0,1948.0,1.0,3.0,3.0,1.0,1764.0,0.0,1.0,3.0,1.0,10.0,4.0,5.0,4.0,5.0,2.0,4.0,0.0,3.0,5.0,50.0,40.0,0.0,73.33333333333333,0.6036099195480347
68,68.0,2.0,56.0,1965.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,4.0,1.0,60.0,20.0,0.0,93.33333333333333,1.0288825035095217
70,70.0,2.0,72.0,1949.0,1.0,3.0,7.0,0.0,0.0,0.0,4.0,3.0,5.0,3.0,4.0,6.0,2.0,2.0,2.0,4.0,0.0,5.0,1.0,50.0,80.0,11.11111111111111,53.333333333333336,0.470194548368454
78,78.0,2.0,30.0,1991.0,1.0,4.0,6.0,3.0,120000.0,120000.0,5.0,2.0,7.0,4.0,3.0,5.0,5.0,5.0,2.0,2.0,0.0,3.0,3.0,30.0,20.0,22.22222222222222,60.0,2.3772497177124023
80,80.0,2.0,49.0,1972.0,1.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,4.0,2.0,5.0,0.0,3.0,1.0,60.0,60.0,0.0,73.33333333333333,1.8052794933319087
85,85.0,1.0,47.0,1974.0,1.0,10.0,3.0,1.0,50000.0,50000.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,0.0,5.0,1.0,40.0,60.0,0.0,53.333333333333336,0.98821222782135
86,86.0,1.0,66.0,1955.0,1.0,6.0,3.0,2.0,20000.0,20000.0,3.0,3.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,4.0,1.0,30.0,20.0,0.0,80.0,0.403068482875824
87,87.0,2.0,31.0,1990.0,1.0,7.0,3.0,1.0,100000.0,100000.0,5.0,3.0,7.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,22.22222222222222,40.0,0.8609591126441956
90,90.0,2.0,51.0,1970.0,1.0,3.0,3.0,3.0,30000.0,30000.0,2.0,1.0,0.0,1.0,5.0,5.0,1.0,2.0,2.0,5.0,0.0,4.0,2.0,60.0,100.0,0.0,60.0,0.9188011288642884
93,93.0,2.0,67.0,1954.0,1.0,10.0,3.0,1.0,60000.0,20000.0,5.0,3.0,6.0,1.0,3.0,6.0,6.0,5.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,11.11111111111111,60.0,0.3696739971637726
95,95.0,2.0,56.0,1965.0,1.0,3.0,3.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,2.0,1.0,70.0,40.0,0.0,93.33333333333333,1.0288825035095217
96,96.0,2.0,25.0,1996.0,1.0,13.0,1.0,2.0,80000.0,80000.0,6.0,6.0,7.0,6.0,3.0,5.0,5.0,3.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,11.11111111111111,46.666666666666664,0.7516451478004456
104,104.0,2.0,68.0,1953.0,4.0,3.0,3.0,2.0,80000.0,0.0,5.0,6.0,7.0,3.0,3.0,4.0,4.0,5.0,6.0,1.0,0.0,5.0,5.0,30.0,40.0,22.22222222222222,73.33333333333333,0.8337709903717041
113,113.0,2.0,62.0,1959.0,1.0,4.0,3.0,1.0,60000.0,60000.0,3.0,3.0,3.0,2.0,4.0,6.0,6.0,4.0,1.0,1.0,0.0,5.0,5.0,20.0,20.0,0.0,40.0,1.1501234769821167
114,114.0,2.0,45.0,1976.0,1.0,4.0,3.0,4.0,30000.0,30000.0,3.0,7.0,4.0,6.0,3.0,6.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,20.0,20.0,11.11111111111111,20.0,1.8052794933319087
120,120.0,2.0,73.0,1948.0,1.0,1.0,3.0,1.0,1500.0,1500.0,4.0,3.0,5.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,0.0,4.0,5.0,40.0,20.0,11.11111111111111,40.0,0.1841439604759216
124,124.0,1.0,35.0,1986.0,1.0,4.0,3.0,3.0,73000.0,73000.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,0.0,5.0,2.0,40.0,80.0,0.0,53.333333333333336,1.6366316080093384
127,127.0,2.0,59.0,1962.0,1.0,3.0,3.0,1.0,20000.0,20000.0,5.0,3.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,2.0,0.0,3.0,4.0,40.0,40.0,0.0,80.0,1.0288825035095217
133,133.0,2.0,55.0,1966.0,1.0,4.0,3.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,5.0,2.0,5.0,0.0,3.0,1.0,60.0,80.0,0.0,80.0,1.069821000099182
135,135.0,2.0,31.0,1990.0,1.0,4.0,3.0,2.0,40000.0,40000.0,1.0,1.0,6.0,1.0,4.0,5.0,5.0,5.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,55.55555555555556,60.0,2.3772497177124023
139,139.0,1.0,21.0,2000.0,1.0,10.0,1.0,0.0,5000000.0,5000000.0,5.0,4.0,5.0,4.0,3.0,4.0,6.0,2.0,1.0,2.0,0.0,3.0,4.0,40.0,20.0,0.0,33.33333333333333,1.8685778379440308
145,145.0,2.0,49.0,1972.0,1.0,3.0,3.0,1.0,20000.0,10000.0,6.0,4.0,8.0,4.0,2.0,5.0,5.0,1.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,22.22222222222222,33.33333333333333,1.173103094100952
148,148.0,1.0,51.0,1970.0,1.0,12.0,3.0,4.0,500000.0,500000.0,7.0,7.0,7.0,7.0,2.0,4.0,4.0,2.0,1.0,2.0,0.0,3.0,1.0,40.0,40.0,0.0,33.33333333333333,0.5858269929885864
149,149.0,2.0,20.0,2001.0,1.0,10.0,1.0,3.0,5000000.0,5000000.0,5.0,5.0,5.0,10.0,0.0,5.0,5.0,5.0,4.0,4.0,0.0,3.0,1.0,50.0,20.0,0.0,86.66666666666667,1.4555660486221311
151,151.0,2.0,36.0,1985.0,1.0,4.0,3.0,2.0,30000.0,30000.0,6.0,4.0,8.0,1.0,4.0,5.0,5.0,4.0,2.0,2.0,0.0,4.0,2.0,30.0,20.0,22.22222222222222,53.333333333333336,1.886836051940918
153,153.0,1.0,18.0,2003.0,1.0,4.0,1.0,4.0,5000000.0,5000000.0,4.0,0.0,10.0,3.0,5.0,5.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0,20.0,40.0,66.66666666666666,33.33333333333333,2.0005948543548584
154,154.0,2.0,56.0,1965.0,1.0,1.0,3.0,6.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,3.0,0.0,2.0,1.0,40.0,20.0,0.0,60.0,0.4029451906681061
159,159.0,1.0,68.0,1953.0,1.0,1.0,3.0,2.0,1800.0,0.0,1.0,5.0,1.0,1.0,5.0,3.0,2.0,6.0,6.0,4.0,0.0,5.0,5.0,70.0,80.0,0.0,93.33333333333333,0.2832324504852295
160,160.0,2.0,46.0,1975.0,1.0,6.0,3.0,3.0,35000.0,35000.0,5.0,4.0,5.0,2.0,3.0,6.0,6.0,4.0,2.0,1.0,0.0,1.0,1.0,20.0,20.0,0.0,46.666666666666664,0.6538099050521851
167,167.0,2.0,47.0,1974.0,1.0,4.0,3.0,3.0,3000.0,3000.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,60.0,80.0,0.0,40.0,1.2197810411453247
169,169.0,1.0,24.0,1997.0,1.0,4.0,1.0,2.0,48000.0,48000.0,3.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,22.22222222222222,60.0,2.0005948543548584
171,171.0,2.0,70.0,1951.0,1.0,3.0,3.0,1.0,2500.0,0.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0,0.0,3.0,5.0,30.0,20.0,0.0,80.0,0.470194548368454
173,173.0,2.0,50.0,1971.0,1.0,3.0,2.0,1.0,80000.0,7000.0,1.0,1.0,2.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,0.0,5.0,1.0,60.0,60.0,11.11111111111111,93.33333333333333,0.9188011288642884
178,178.0,2.0,57.0,1964.0,1.0,6.0,3.0,10.0,5000000.0,5000000.0,10.0,1.0,10.0,1.0,5.0,6.0,5.0,1.0,6.0,5.0,0.0,5.0,1.0,60.0,20.0,0.0,73.33333333333333,0.3874530792236328
180,180.0,2.0,76.0,1945.0,1.0,3.0,3.0,8.0,0.0,0.0,7.0,7.0,7.0,6.0,3.0,6.0,3.0,2.0,2.0,6.0,0.0,5.0,5.0,60.0,60.0,0.0,60.0,0.5054029226303101
184,184.0,2.0,61.0,1960.0,1.0,3.0,2.0,4.0,0.0,0.0,3.0,1.0,4.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,0.0,2.0,5.0,60.0,20.0,11.11111111111111,100.0,1.1061114072799685
189,189.0,1.0,54.0,1967.0,1.0,4.0,3.0,2.0,30000.0,30000.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,0.0,4.0,3.0,60.0,60.0,0.0,60.0,1.8151326179504397
192,192.0,1.0,43.0,1978.0,1.0,3.0,3.0,1.0,100000.0,100000.0,6.0,4.0,8.0,1.0,3.0,4.0,4.0,2.0,3.0,2.0,0.0,3.0,5.0,40.0,40.0,22.22222222222222,46.666666666666664,1.548188328742981
193,193.0,1.0,19.0,2002.0,1.0,6.0,1.0,2.0,0.0,0.0,5.0,4.0,7.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,0.0,5.0,2.0,80.0,40.0,22.22222222222222,80.0,1.0723310708999634
195,195.0,1.0,62.0,1959.0,1.0,3.0,3.0,1.0,23000.0,23000.0,5.0,3.0,5.0,1.0,4.0,6.0,5.0,2.0,2.0,1.0,0.0,5.0,5.0,20.0,20.0,0.0,33.33333333333333,0.9594365954399108
197,197.0,1.0,35.0,1986.0,1.0,4.0,3.0,7.0,40000.0,40000.0,5.0,3.0,6.0,1.0,4.0,6.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,20.0,20.0,11.11111111111111,20.0,1.6366316080093384
198,198.0,2.0,23.0,1998.0,1.0,12.0,1.0,2.0,0.0,0.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,2.0,0.0,3.0,1.0,30.0,20.0,11.11111111111111,53.333333333333336,0.7443962693214417
204,204.0,1.0,35.0,1986.0,1.0,4.0,6.0,1.0,70000.0,70000.0,5.0,3.0,6.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,0.0,3.0,1.0,60.0,80.0,11.11111111111111,66.66666666666666,2.422216892242432
206,206.0,2.0,32.0,1989.0,1.0,10.0,3.0,0.0,80000.0,80000.0,5.0,2.0,7.0,7.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,4.0,1.0,30.0,60.0,22.22222222222222,26.666666666666668,1.5002520084381104
209,209.0,2.0,58.0,1963.0,1.0,1.0,3.0,5.0,5000000.0,5000000.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,0.0,2.0,5.0,40.0,60.0,0.0,53.333333333333336,0.4029451906681061
210,210.0,1.0,56.0,1965.0,1.0,6.0,3.0,5.0,120000.0,120000.0,4.0,2.0,5.0,1.0,3.0,5.0,5.0,2.0,1.0,2.0,0.0,3.0,1.0,30.0,20.0,11.11111111111111,33.33333333333333,0.7361397743225098
215,215.0,2.0,45.0,1976.0,1.0,4.0,3.0,0.0,80000.0,80000.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,3.0,0.0,1.0,5.0,40.0,20.0,0.0,53.333333333333336,1.8052794933319087
217,217.0,1.0,63.0,1958.0,1.0,6.0,7.0,1.0,30000.0,30000.0,4.0,6.0,2.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,60.0,80.0,0.0,40.0,0.5347256064414978
220,220.0,1.0,36.0,1985.0,1.0,9.0,6.0,2.0,80000.0,80000.0,3.0,3.0,6.0,3.0,4.0,2.0,5.0,2.0,2.0,5.0,0.0,4.0,1.0,90.0,20.0,33.33333333333333,60.0,1.032855987548828
221,221.0,1.0,64.0,1957.0,1.0,3.0,3.0,3.0,5000000.0,5000000.0,4.0,3.0,4.0,5.0,3.0,5.0,2.0,3.0,4.0,3.0,0.0,2.0,5.0,40.0,80.0,0.0,66.66666666666666,1.4199672937393188
222,222.0,1.0,41.0,1980.0,1.0,4.0,3.0,6.0,85000.0,50000.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,0.0,1.0,1.0,50.0,20.0,11.11111111111111,66.66666666666666,1.609789490699768
228,228.0,1.0,34.0,1987.0,1.0,4.0,3.0,3.0,60000.0,60000.0,5.0,5.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,60.0,60.0,11.11111111111111,60.0,3.051788330078125
229,229.0,1.0,24.0,1997.0,1.0,4.0,3.0,4.0,100000.0,100000.0,3.0,1.0,8.0,3.0,4.0,5.0,5.0,1.0,6.0,5.0,0.0,4.0,1.0,60.0,20.0,55.55555555555556,73.33333333333333,2.960887670516968
230,230.0,2.0,31.0,1990.0,1.0,4.0,4.0,5.0,0.0,0.0,3.0,1.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,0.0,3.0,1.0,40.0,60.0,0.0,73.33333333333333,2.3772497177124023
236,236.0,2.0,71.0,1950.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,1.0,1.0,6.0,0.0,1.0,1.0,70.0,20.0,0.0,46.666666666666664,0.470194548368454
241,241.0,1.0,77.0,1944.0,1.0,4.0,3.0,4.0,4640.0,0.0,7.0,5.0,7.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,0.0,5.0,5.0,30.0,20.0,0.0,40.0,0.67462557554245
252,252.0,2.0,58.0,1963.0,1.0,9.0,3.0,4.0,33400.0,0.0,6.0,6.0,6.0,10.0,2.0,6.0,6.0,4.0,1.0,5.0,0.0,2.0,1.0,60.0,20.0,0.0,66.66666666666666,0.6751500964164734
253,253.0,1.0,75.0,1946.0,1.0,4.0,3.0,1.0,72000.0,72000.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,1.0,5.0,30.0,20.0,0.0,40.0,0.9984480142593384
256,256.0,1.0,59.0,1962.0,1.0,4.0,3.0,1.0,60000.0,60000.0,6.0,6.0,6.0,4.0,3.0,4.0,5.0,2.0,1.0,1.0,0.0,3.0,1.0,30.0,20.0,0.0,26.666666666666668,1.3733792304992676
257,257.0,2.0,47.0,1974.0,1.0,11.0,3.0,2.0,140000.0,140000.0,7.0,6.0,8.0,4.0,2.0,5.0,5.0,4.0,1.0,2.0,0.0,3.0,1.0,30.0,20.0,11.11111111111111,46.666666666666664,0.5826468467712402
258,258.0,2.0,46.0,1975.0,1.0,4.0,6.0,2.0,30000.0,30000.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,2.0,1.0,4.0,0.0,3.0,1.0,50.0,80.0,11.11111111111111,46.666666666666664,1.8052794933319087
259,259.0,1.0,77.0,1944.0,1.0,4.0,7.0,3.0,20000.0,20000.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,2.0,1.0,1.0,0.0,4.0,5.0,20.0,20.0,0.0,26.666666666666668,0.9984480142593384
260,260.0,2.0,49.0,1972.0,1.0,4.0,3.0,3.0,20000.0,20000.0,3.0,2.0,4.0,2.0,4.0,5.0,2.0,3.0,2.0,2.0,0.0,4.0,1.0,30.0,80.0,11.11111111111111,46.666666666666664,1.8052794933319087
261,261.0,2.0,42.0,1979.0,1.0,4.0,3.0,3.0,30000.0,30000.0,5.0,6.0,7.0,7.0,3.0,4.0,5.0,5.0,2.0,2.0,0.0,4.0,1.0,40.0,20.0,22.22222222222222,60.0,1.855890393257141
263,263.0,1.0,75.0,1946.0,1.0,3.0,3.0,1.0,20000.0,20000.0,3.0,6.0,3.0,2.0,5.0,5.0,5.0,5.0,6.0,6.0,0.0,5.0,2.0,60.0,20.0,0.0,100.0,0.648809552192688
265,265.0,2.0,71.0,1950.0,1.0,4.0,3.0,2.0,8000.0,8000.0,6.0,6.0,0.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,0.0,4.0,5.0,30.0,20.0,0.0,60.0,0.4889034926891327
268,268.0,1.0,52.0,1969.0,1.0,4.0,4.0,3.0,60000.0,60000.0,3.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,3.0,70.0,60.0,11.11111111111111,80.0,1.8151326179504397
274,274.0,1.0,24.0,1997.0,1.0,10.0,1.0,3.0,100000.0,100000.0,2.0,1.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,0.0,3.0,1.0,60.0,20.0,33.33333333333333,66.66666666666666,1.8685778379440308
280,280.0,2.0,44.0,1977.0,1.0,6.0,3.0,4.0,40000.0,40000.0,3.0,1.0,6.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,40.0,33.33333333333333,40.0,0.6721392273902893
282,282.0,2.0,80.0,1941.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,2.0,5.0,5.0,5.0,0.0,5.0,5.0,90.0,80.0,0.0,100.0,0.2895898222923279
286,286.0,1.0,25.0,1996.0,1.0,3.0,1.0,2.0,120000.0,100000.0,5.0,5.0,6.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,0.0,4.0,1.0,40.0,20.0,11.11111111111111,66.66666666666666,2.3516104221343994
291,291.0,2.0,80.0,1941.0,1.0,7.0,3.0,0.0,70000.0,70000.0,5.0,5.0,5.0,6.0,2.0,5.0,6.0,5.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,0.0,60.0,0.4121155142784118
293,293.0,2.0,23.0,1998.0,1.0,12.0,1.0,3.0,5000.0,5000.0,3.0,3.0,0.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,0.0,4.0,1.0,40.0,40.0,0.0,53.333333333333336,0.502968966960907
294,294.0,1.0,72.0,1949.0,1.0,3.0,3.0,4.0,20000.0,0.0,8.0,8.0,8.0,5.0,2.0,6.0,5.0,5.0,2.0,2.0,0.0,5.0,5.0,30.0,20.0,0.0,60.0,0.6036099195480347
302,302.0,2.0,68.0,1953.0,1.0,1.0,7.0,3.0,0.0,0.0,5.0,5.0,6.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,0.0,5.0,5.0,30.0,20.0,11.11111111111111,60.0,0.3265323936939239
306,306.0,2.0,41.0,1980.0,1.0,4.0,3.0,3.0,0.0,0.0,6.0,4.0,6.0,4.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,4.0,3.0,30.0,20.0,0.0,40.0,1.2539771795272827
316,316.0,1.0,41.0,1980.0,1.0,11.0,3.0,2.0,100000.0,100000.0,6.0,5.0,8.0,3.0,3.0,6.0,6.0,2.0,1.0,1.0,0.0,4.0,1.0,20.0,20.0,22.22222222222222,26.666666666666668,0.7689407467842102
317,317.0,1.0,27.0,1994.0,1.0,12.0,1.0,2.0,200000.0,200000.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,0.0,40.0,1.1679774522781372
320,320.0,2.0,68.0,1953.0,1.0,4.0,3.0,1.0,15000.0,8000.0,6.0,5.0,5.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,0.0,5.0,1.0,30.0,40.0,0.0,40.0,0.5857733488082886
328,328.0,1.0,37.0,1984.0,1.0,4.0,3.0,3.0,50000.0,50000.0,2.0,2.0,3.0,1.0,5.0,6.0,5.0,3.0,5.0,2.0,0.0,2.0,1.0,30.0,20.0,11.11111111111111,66.66666666666666,1.6366316080093384
329,329.0,2.0,70.0,1951.0,1.0,1.0,3.0,1.0,1400.0,0.0,4.0,3.0,0.0,1.0,4.0,6.0,1.0,6.0,1.0,6.0,0.0,2.0,5.0,60.0,100.0,0.0,73.33333333333333,0.1841439604759216
335,335.0,2.0,33.0,1988.0,1.0,7.0,3.0,2.0,0.0,0.0,2.0,1.0,8.0,3.0,4.0,5.0,1.0,3.0,4.0,4.0,0.0,3.0,1.0,50.0,100.0,66.66666666666666,73.33333333333333,1.274220585823059
337,337.0,2.0,53.0,1968.0,1.0,3.0,3.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,40.0,80.0,0.0,40.0,0.9188011288642884
342,342.0,2.0,25.0,1996.0,1.0,7.0,3.0,2.0,5000000.0,5000000.0,6.0,3.0,8.0,6.0,3.0,5.0,5.0,2.0,4.0,2.0,0.0,2.0,1.0,30.0,20.0,22.22222222222222,53.333333333333336,1.020942449569702
350,350.0,2.0,32.0,1989.0,1.0,6.0,3.0,2.0,80000.0,80000.0,4.0,1.0,7.0,1.0,3.0,5.0,5.0,4.0,2.0,1.0,0.0,4.0,1.0,20.0,20.0,33.33333333333333,46.666666666666664,1.274220585823059
352,352.0,1.0,59.0,1962.0,1.0,3.0,1.0,0.0,600.0,600.0,1.0,2.0,1.0,2.0,5.0,5.0,5.0,3.0,6.0,1.0,0.0,4.0,5.0,20.0,20.0,0.0,60.0,0.892448365688324
354,354.0,2.0,70.0,1951.0,1.0,4.0,3.0,1.0,7440.0,7440.0,4.0,5.0,0.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,0.0,2.0,5.0,60.0,100.0,0.0,66.66666666666666,0.4889034926891327
361,361.0,1.0,53.0,1968.0,1.0,4.0,3.0,1.0,40000.0,40000.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,5.0,5.0,30.0,20.0,0.0,60.0,1.2264381647109983
363,363.0,1.0,81.0,1940.0,1.0,3.0,3.0,1.0,0.0,0.0,6.0,5.0,5.0,2.0,3.0,6.0,6.0,2.0,6.0,1.0,0.0,5.0,5.0,20.0,20.0,0.0,53.333333333333336,0.9492552876472472
366,366.0,2.0,26.0,1995.0,1.0,13.0,1.0,2.0,5000000.0,5000000.0,7.0,6.0,8.0,6.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,11.11111111111111,40.0,0.7516451478004456
370,370.0,2.0,72.0,1949.0,1.0,1.0,7.0,3.0,5000000.0,5000000.0,10.0,10.0,1.0,4.0,0.0,2.0,2.0,2.0,3.0,5.0,0.0,4.0,5.0,90.0,80.0,0.0,66.66666666666666,0.2725332975387573
373,373.0,1.0,57.0,1964.0,1.0,6.0,7.0,1.0,12000.0,12000.0,6.0,8.0,7.0,6.0,3.0,5.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0,30.0,80.0,11.11111111111111,53.333333333333336,0.7361397743225098
374,374.0,2.0,68.0,1953.0,1.0,2.0,7.0,0.0,5000000.0,5000000.0,4.0,3.0,4.0,3.0,4.0,6.0,4.0,2.0,2.0,6.0,0.0,2.0,5.0,60.0,40.0,0.0,60.0,0.3265323936939239
385,385.0,1.0,71.0,1950.0,1.0,4.0,3.0,3.0,50000.0,0.0,8.0,5.0,8.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,0.0,40.0,0.9288905262947084
